,t,pos,vel,rot_vel,head_direction
86,8.699999999999985,"[0.9918849733187963, 0.7147696539739066]","[-0.038429617437271135, 0.011097950424513447]",21.533418011716254,"[-0.693321490585557, 0.7206284137419375]"
87,8.799999999999985,"[0.9817553145500638, 0.7160990764757366]","[-0.10129658768732508, 0.01329422501829991]",1.50648463927042,"[-0.9389259988753282, 0.34411911983493026]"
88,8.899999999999984,"[0.9728861004896534, 0.7157404532763417]","[-0.08869214060410413, -0.0035862319939483633]",1.7090911576185963,"[-0.9960058745591851, 0.08928772504433477]"
89,8.999999999999984,"[0.9645385825889653, 0.7151958790344677]","[-0.08347517900688106, -0.005445742418740407]",0.24733278940994197,"[-0.9999065154577185, -0.013673344331344244]"
90,9.099999999999984,"[0.9574693524143414, 0.7152237258020665]","[-0.07069230174623908, 0.0002784676759881588]",-0.6908551473301472,"[-0.9999981341354205, -0.0019317675008910732]"
91,9.199999999999983,"[0.9518844656545825, 0.7167917430799102]","[-0.05584886759758878, 0.01568017277843725]",-2.6977952700429775,"[-0.9834669515457105, 0.18108770034816546]"
92,9.299999999999983,"[0.9471391442701084, 0.7180553628588827]","[-0.04745321384474144, 0.012636197789724912]",0.1346510689294611,"[-0.9726997824542629, 0.23206708774281123]"
93,9.399999999999983,"[0.9429472225581235, 0.7195301255740032]","[-0.04191921711984903, 0.014747627151204812]",-0.7804082337007223,"[-0.9542646368980429, 0.2989632130644947]"
94,9.499999999999982,"[0.9377746233307773, 0.7243528550691206]","[-0.05172599227346142, 0.04822729495117417]",-4.121243369699066,"[-0.8238678465076616, 0.5667819435116367]"
95,9.599999999999982,"[0.9330991518259212, 0.7328822120517126]","[-0.046754715048561435, 0.0852935698259194]",-3.1895540025063696,"[-0.6097480425274637, 0.7925953094952848]"
96,9.699999999999982,"[0.9258905283900706, 0.7425997766579056]","[-0.07208623435850603, 0.09717564606192997]",1.3681251803871275,"[-0.6004590394649996, 0.7996555145340837]"
97,9.799999999999981,"[0.916861679961067, 0.7476386264981849]","[-0.09028848429003533, 0.05038849840279358]",4.23528899908701,"[-0.7976870467989617, 0.6030716171145439]"
98,9.89999999999998,"[0.9084162124958743, 0.7492757545327765]","[-0.08445467465192702, 0.01637128034591595]",3.175583199622012,"[-0.9420052947674851, 0.3355980104679163]"
99,9.99999999999998,"[0.8983944865337535, 0.7483312764033742]","[-0.10021725962120809, -0.009444781294023485]",2.8544088537175316,"[-0.9987304336071384, 0.05037381251103851]"
100,10.09999999999998,"[0.8894699265822683, 0.7453429734078353]","[-0.08924559951485223, -0.029883029955388718]",2.291431953945522,"[-0.9802139913535706, -0.19794072636701696]"
101,10.19999999999998,"[0.8816797105422745, 0.7368413411649856]","[-0.07790216039993858, -0.08501632242849722]",5.059341868170666,"[-0.8125402481722502, -0.5829050909883855]"
102,10.29999999999998,"[0.8728006034680412, 0.7343325355445183]","[-0.08879107074233228, -0.025088056204672915]",-5.536676912787,"[-0.924720918935385, -0.38064579609303056]"
103,10.399999999999979,"[0.8649924478549686, 0.7307483625421067]","[-0.07808155613072576, -0.03584173002411539]",1.5496606677595715,"[-0.9142849391877653, -0.4050716602953413]"
104,10.499999999999979,"[0.8599948009990257, 0.7276937066684123]","[-0.0499764685594295, -0.030546558736944673]",1.1829451945483704,"[-0.875271646696494, -0.483631620646549]"
105,10.599999999999978,"[0.852669260322171, 0.7243983053682549]","[-0.07325540676854647, -0.032954013001573745]",-1.2590167161189392,"[-0.9004125141912173, -0.43503712978072456]"
106,10.699999999999978,"[0.846076471052634, 0.7262292102947652]","[-0.06592789269537103, 0.018309049265102795]",-6.936259150059616,"[-0.9993734789931494, 0.03539278860345816]"
107,10.799999999999978,"[0.8387291195131259, 0.7281617825254741]","[-0.07347351539508051, 0.019325722307089732]",0.13683614815581002,"[-0.9832284693236928, 0.18237811576882845]"
108,10.899999999999977,"[0.8323747306674453, 0.7284572615847625]","[-0.06354388845680625, 0.002954790592883949]",2.1073998347071976,"[-0.9957635581536076, 0.0919507273123325]"
109,10.999999999999977,"[0.8255128885449806, 0.7322131240238589]","[-0.06861842122464656, 0.037558624390963136]",-4.5434898600037155,"[-0.9339730880316123, 0.3573433514600408]"
110,11.099999999999977,"[0.820834998284962, 0.734072542049679]","[-0.046778902600186356, 0.018594180258201254]",1.2246755780914143,"[-0.9308606840328859, 0.3653743107031852]"
111,11.199999999999976,"[0.8166975659023725, 0.7364362351018302]","[-0.041374323825894566, 0.023636930521512278]",-1.4070689150365912,"[-0.8912301344857628, 0.45355137237637055]"
112,11.299999999999976,"[0.8123875390748199, 0.7368460925358217]","[-0.0431002682755266, 0.0040985743399146735]",4.24244543090039,"[-0.9760156904377953, 0.21770018837666053]"
113,11.399999999999975,"[0.8075178530522774, 0.7370248592943335]","[-0.04869686022542452, 0.001787667585118058]",0.581166362562815,"[-0.9952468070965755, 0.0973847676183079]"
114,11.499999999999975,"[0.8033106409229087, 0.7386679904974557]","[-0.04207212129368698, 0.016431312031222056]",-3.3564796222944437,"[-0.9607803250347839, 0.27731059667105157]"
115,11.599999999999975,"[0.7926964105197348, 0.7374477567240713]","[-0.10614230403173885, -0.01220233773384427]",4.868030068818281,"[-0.9998624778195783, 0.016583891234971615]"
116,11.699999999999974,"[0.7833739673310087, 0.7430718947964875]","[-0.09322443188726104, 0.056241380724162404]",-6.573006045310272,"[-0.9325946682608943, 0.3609254559204052]"
117,11.799999999999974,"[0.7735137550679418, 0.7474066040909464]","[-0.09860212263066881, 0.04334709294458894]",1.2865091716804233,"[-0.9213678273589457, 0.3886918145624576]"
118,11.899999999999974,"[0.7678272765103336, 0.7510255266213706]","[-0.05686478557608288, 0.036189225304241734]",-1.525799814864861,"[-0.8722708811700598, 0.4890230156780021]"
119,11.999999999999973,"[0.7572974578811147, 0.7552405197526296]","[-0.10529818629218868, 0.042149931312590594]",1.8600840633188342,"[-0.9113954414679494, 0.4115317111371148]"
120,12.099999999999973,"[0.7449918821501835, 0.7608224807384204]","[-0.12305575730931162, 0.05581960985790779]",-0.45096329267629187,"[-0.9109229972644085, 0.4125764087473087]"
121,12.199999999999973,"[0.7360861806538436, 0.7678579420380526]","[-0.08905701496339957, 0.07035461299632173]",-2.427591222876373,"[-0.8322295565927238, 0.554431208657556]"
122,12.299999999999972,"[0.7317033344316044, 0.7723186730009683]","[-0.04382846222239167, 0.04460730962915771]",-1.256002043513842,"[-0.7481862280815414, 0.6634887852172903]"
123,12.399999999999972,"[0.7277115364859162, 0.7748220938260127]","[-0.03991797945688158, 0.025034208250444]",2.340674433519534,"[-0.8166619834222492, 0.5771162836316768]"
124,12.499999999999972,"[0.7265872377550031, 0.7787852507993571]","[-0.011242987309131314, 0.03963156973344373]",-7.342458684084221,"[-0.47836831964549736, 0.878159296915738]"
125,12.599999999999971,"[0.719152205788119, 0.7808033169698008]","[-0.07435031966884109, 0.020180661704436442]",10.293501799878499,"[-0.8642345178361281, 0.5030891553000869]"
126,12.69999999999997,"[0.7152786239824551, 0.7828987319346098]","[-0.03873581805663884, 0.02095414964809028]",-2.308349597131727,"[-0.8745438611286102, 0.48494642483707623]"
127,12.79999999999997,"[0.713427722729874, 0.7839124017517243]","[-0.018509012525811386, 0.01013669817114482]",-0.05190356146150599,"[-0.8762373688114449, 0.48187972928770934]"
128,12.89999999999997,"[0.7106295335809405, 0.7887464121065876]","[-0.02798189148933483, 0.04834010354863305]",-5.450156998022182,"[-0.6471098003966206, 0.762396816776307]"
129,12.99999999999997,"[0.7039887379660683, 0.794303931280192]","[-0.06640795614872186, 0.05557519173604475]",3.4925301981046664,"[-0.7293040938165182, 0.6841896949987389]"
130,13.09999999999997,"[0.6971565622558248, 0.7977164910056044]","[-0.06832175710243527, 0.03412559725412323]",2.335922548851115,"[-0.8474234978340041, 0.5309175221433003]"
131,13.199999999999969,"[0.6914734870041307, 0.7985766900715685]","[-0.05683075251694092, 0.00860199065964129]",3.130163837469717,"[-0.9594226160023603, 0.28197206227423915]"
132,13.299999999999969,"[0.6868288294965778, 0.8006650111304192]","[-0.046446575075529406, 0.020883210588507062]",-2.723202897608692,"[-0.9297712642928431, 0.36813774065597793]"
133,13.399999999999968,"[0.6814869272440467, 0.7997754093510774]","[-0.05341902252531061, -0.00889601779341831]",5.875655916462885,"[-0.9999069633033665, 0.013640554880210078]"
134,13.499999999999968,"[0.6781350067019067, 0.8005887804665395]","[-0.03351920542139952, 0.008133711154620915]",-4.030851850498287,"[-0.9866812424118843, 0.16266568744680104]"
135,13.599999999999968,"[0.672063882726591, 0.8029969754049935]","[-0.06071123975315729, 0.024081949384540113]",-1.395689048353539,"[-0.953444575426081, 0.30156830335859297]"
136,13.699999999999967,"[0.665175240668368, 0.8085018324208602]","[-0.06888642058223038, 0.05504857015866671]",-2.9657902253758195,"[-0.851370604760747, 0.5245646703213246]"
137,13.799999999999967,"[0.659353079335877, 0.815420355611358]","[-0.05822161332491027, 0.06918523190497794]",-1.9703551498313843,"[-0.7211759167226582, 0.6927519737534015]"
138,13.899999999999967,"[0.653335802240246, 0.8189237155782478]","[-0.06017277095630935, 0.03503359966889885]",3.439989696313477,"[-0.8216902042529379, 0.5699343894122946]"
139,13.999999999999966,"[0.6517307265405125, 0.824430829812539]","[-0.016050756997335602, 0.05507114234291177]",-7.599658565669696,"[-0.4850948439341748, 0.874461544259368]"
140,14.099999999999966,"[0.6496223076941033, 0.8270803780885457]","[-0.021084188464091103, 0.02649548276006719]",3.88548178865179,"[-0.578576645708289, 0.8156280187934601]"
141,14.199999999999966,"[0.647805044061356, 0.8328061219767761]","[-0.01817263632747368, 0.05725743888230328]",-3.648174909402435,"[-0.3987718266530206, 0.9170501787076939]"
142,14.299999999999965,"[0.645993980419414, 0.8381980624861761]","[-0.018110636419419457, 0.053919405094000616]",0.16714314482249248,"[-0.3454770707115997, 0.9384271914285797]"
143,14.399999999999965,"[0.6412898972415365, 0.8407524983531532]","[-0.04704083177877516, 0.025544358669771228]",7.492876289345536,"[-0.7432791985384894, 0.6689813398144832]"
144,14.499999999999964,"[0.6356000253081484, 0.8440619047251542]","[-0.05689871933388102, 0.03309406372000945]",-0.2932961982909088,"[-0.8279393278031074, 0.5608176793548315]"
145,14.599999999999964,"[0.6304947838951789, 0.8482348612579356]","[-0.0510524141296953, 0.0417295653278138]",-1.5845157906619,"[-0.7928639065195591, 0.6093987411691495]"
146,14.699999999999964,"[0.6264907840295404, 0.8546313151069476]","[-0.040039998656384856, 0.06396453849011996]",-3.2624705962429346,"[-0.6268207191246811, 0.7791635169051602]"
147,14.799999999999963,"[0.6183021844617259, 0.8571959303606231]","[-0.08188599567814481, 0.02564615253675573]",7.079897845678009,"[-0.8787724540594486, 0.4772410019961971]"
148,14.899999999999963,"[0.6114398667563391, 0.8634781446068175]","[-0.06862317705386811, 0.06282214246194351]",-4.377814306106682,"[-0.7898614405442663, 0.6132853371321838]"
149,14.999999999999963,"[0.6070901815015532, 0.8670171931388546]","[-0.04349685254785851, 0.03539048532037126]",0.5829131203561522,"[-0.7804545725210466, 0.625212492062491]"
150,15.099999999999962,"[0.6017192999992982, 0.8712715654170985]","[-0.05370881502255065, 0.042543722782438786]",0.13084609367393085,"[-0.7827365389639439, 0.6223532040334863]"
151,15.199999999999962,"[0.597607884626897, 0.8759691020121417]","[-0.04111415372401228, 0.04697536595043239]",-1.8192384972701348,"[-0.7025093477916089, 0.7116745156779245]"
152,15.299999999999962,"[0.5938221652509384, 0.8807067301271765]","[-0.03785719375958507, 0.04737628115034753]",-0.44783364417777527,"[-0.6511327377252272, 0.7589638712497786]"
153,15.399999999999961,"[0.5878844920010192, 0.8851658355303339]","[-0.059376732499192286, 0.04459105403157415]",2.524931522587961,"[-0.7540870455505662, 0.6567744877298586]"
154,15.499999999999961,"[0.5834570357085572, 0.8914062929652278]","[-0.04427456292461995, 0.06240457434893876]",-3.0960990235113606,"[-0.6411228524597183, 0.7674382633501631]"
155,15.59999999999996,"[0.5681889069617034, 0.8959661286228844]","[-0.15268128746853793, 0.04559835657656608]",6.635292600533966,"[-0.8858136257689392, 0.4640411839503967]"
156,15.69999999999996,"[0.5606678573434217, 0.9044971368501002]","[-0.07521049618281705, 0.08531008227215864]",-5.580194957663469,"[-0.7472050025319513, 0.664593623345294]"
157,15.79999999999996,"[0.5540347489454112, 0.9109908253296425]","[-0.06633108398010568, 0.06493688479542237]",0.7345455278573398,"[-0.7256372014830991, 0.6880775042273772]"
158,15.89999999999996,"[0.5492996467960192, 0.9195734206085578]","[-0.0473510214939199, 0.08582595278915361]",-2.918651867702131,"[-0.5699078975240343, 0.8217085787185958]"
159,15.99999999999996,"[0.5456210784319069, 0.9257235520635448]","[-0.03678568364112289, 0.061501314549869956]",0.3488416418636753,"[-0.5324471256675049, 0.8464632646301977]"
160,16.09999999999996,"[0.5442544285766047, 0.9296303641902889]","[-0.013666498553022155, 0.039068121267440414]",-2.0254567971702286,"[-0.399856268536082, 0.9165778551287396]"
161,16.19999999999996,"[0.540625015478136, 0.9345636556263444]","[-0.03629413098468648, 0.04933291436055476]",2.977871849814029,"[-0.5312827250068786, 0.8471945857412366]"
